Date,Close/Last,Volume,Open,High,Low
12/31/2021,23.352,28585,23.095,23.39,23.07
12/30/2021,23.06,29796,22.87,23.155,22.63
12/29/2021,22.858,39201,23.05,23.185,22.6
12/28/2021,23.121,41202,23.105,23.48,23.005
12/27/2021,22.989,37238,22.9,23.15,22.655
12/23/2021,22.94,33033,22.815,22.965,22.68
12/22/2021,22.819,34490,22.525,22.86,22.44
12/21/2021,22.529,44862,22.29,22.805,22.185
12/20/2021,22.291,34183,22.39,22.435,22.19
12/17/2021,22.533,38416,22.53,22.69,22.355
12/16/2021,22.485,54317,22.07,22.56,21.93
12/15/2021,21.545,63186,21.945,22.13,21.41
12/14/2021,21.924,51383,22.35,22.355,21.67
12/13/2021,22.328,31480,22.195,22.43,22.16
12/10/2021,22.195,43031,21.975,22.24,21.815
12/09/2021,22.013,56607,22.435,22.475,21.84
12/08/2021,22.432,28351,22.525,22.58,22.305
12/07/2021,22.523,37481,22.395,22.625,22.23
12/06/2021,22.263,38544,22.61,22.635,22.125
12/03/2021,22.481,51727,22.41,22.59,22.035
12/02/2021,22.316,43463,22.335,22.505,22.215
12/01/2021,22.339,60609,22.875,23.06,22.185
11/30/2021,22.815,65424,22.93,23.355,22.705
11/29/2021,22.852,63030,23.16,23.46,22.775
11/26/2021,23.135,54339,23.61,23.77,22.935
11/24/2021,23.536,31342,23.695,23.745,23.45
11/23/2021,23.492,35399,24.28,24.405,23.335
11/22/2021,24.362,20934,24.725,25.02,24.21
11/19/2021,24.844,16775,24.92,25.1,24.67
11/18/2021,24.96,16559,25.2,25.28,24.79
11/17/2021,25.223,10983,24.92,25.335,24.91
11/16/2021,24.999,11997,25.185,25.54,24.88
11/15/2021,25.105,67966,25.425,25.465,24.97
11/12/2021,25.346,65557,25.35,25.47,24.925
11/11/2021,25.301,75998,24.71,25.365,24.645
11/10/2021,24.772,123405,24.375,25.22,24.04
11/09/2021,24.318,60150,24.55,24.565,24.09
11/08/2021,24.542,61978,24.285,24.59,24.13
11/05/2021,24.157,68568,23.87,24.255,23.665
11/04/2021,23.911,66052,23.53,24.115,23.485
11/03/2021,23.231,65294,23.57,23.665,23.045
11/02/2021,23.507,60956,24.13,24.14,23.43
11/01/2021,24.073,35793,23.985,24.175,23.81
10/29/2021,23.949,56590,24.135,24.14,23.705
10/28/2021,24.12,45204,24.13,24.31,24.02
10/27/2021,24.191,47363,24.22,24.33,23.905
10/26/2021,24.088,60188,24.65,24.655,23.925
10/25/2021,24.592,43593,24.395,24.695,24.365
10/22/2021,24.449,79709,24.22,24.92,24.185
10/21/2021,24.17,57479,24.37,24.55,24.07
10/20/2021,24.445,70427,23.71,24.495,23.615
10/19/2021,23.883,76326,23.25,24.18,23.22
10/18/2021,23.264,46484,23.38,23.495,23.035
10/15/2021,23.349,50497,23.565,23.645,23.1
10/14/2021,23.477,52250,23.1,23.625,22.925
10/13/2021,23.17,68834,22.57,23.285,22.48
10/12/2021,22.514,41629,22.61,22.79,22.325
10/11/2021,22.665,28995,22.685,22.83,22.495
10/08/2021,22.705,67334,22.61,23.22,22.435
10/07/2021,22.658,40165,22.64,22.84,22.385
10/06/2021,22.532,38173,22.635,22.7,22.185
10/05/2021,22.608,26336,22.725,22.73,22.38
10/04/2021,22.644,34535,22.6,22.805,22.29
10/01/2021,22.536,42261,22.185,22.6,21.99
09/30/2021,22.047,64028,21.515,22.225,21.46
09/29/2021,21.485,77565,22.475,22.565,21.41
09/28/2021,22.467,54308,22.625,22.68,22.08
09/27/2021,22.694,35208,22.395,22.865,22.39
09/24/2021,22.425,41005,22.53,22.79,22.09
09/23/2021,22.679,42215,22.695,22.88,22.465
09/22/2021,22.907,50214,22.485,23.15,22.455
09/21/2021,22.611,40127,22.265,22.72,22.21
09/20/2021,22.204,50401,22.33,22.5,22.025
09/17/2021,22.337,62803,22.91,23.13,22.305
09/16/2021,22.794,84843,23.865,24,22.585
09/15/2021,23.801,32466,23.865,23.94,23.67
09/14/2021,23.885,41580,23.775,23.98,23.435
09/13/2021,23.796,46642,23.79,23.89,23.36
09/10/2021,23.9,38363,24.1,24.345,23.76
09/09/2021,24.177,42577,23.995,24.355,23.865
09/08/2021,24.056,44566,24.39,24.48,23.94
09/07/2021,24.373,68763,24.865,24.895,24.21
09/03/2021,24.802,64169,23.95,24.945,23.91
09/02/2021,23.918,36109,24.2,24.275,23.815
09/01/2021,24.221,47663,23.935,24.325,23.775
08/31/2021,23.925,43898,24.065,24.27,23.83
08/30/2021,24.006,47609,24.13,24.28,23.95
08/27/2021,24.11,60078,23.61,24.18,23.355
08/26/2021,23.596,34221,23.93,23.945,23.465
08/25/2021,23.822,30165,23.915,23.96,23.64
08/24/2021,23.937,18643,23.695,24.015,23.595
08/23/2021,23.703,17246,23.015,23.755,22.975
08/20/2021,23.16,16445,23.245,23.345,22.88
08/19/2021,23.279,13241,23.56,23.565,23.13
08/18/2021,23.47,9332,23.705,23.875,23.325
08/17/2021,23.707,8971,23.905,24,23.62
08/16/2021,23.791,41745,23.745,23.89,23.38
08/13/2021,23.779,52010,23.155,23.83,23.13
08/12/2021,23.116,61091,23.515,23.53,22.97
08/11/2021,23.488,64942,23.325,23.565,23.19
08/10/2021,23.392,57584,23.45,23.675,23.22
08/09/2021,23.269,108893,24.34,24.38,22.295
08/06/2021,24.326,99801,25.195,25.23,24.205
08/05/2021,25.292,41092,25.425,25.565,25.115
08/04/2021,25.461,69779,25.59,26.09,25.375
08/03/2021,25.582,44504,25.47,25.665,25.27
08/02/2021,25.575,50936,25.625,25.675,25.345
07/30/2021,25.547,42250,25.6,25.685,25.395
07/29/2021,25.782,65697,25.015,25.875,25
07/28/2021,24.877,53385,24.73,25.06,24.655
07/27/2021,24.649,76404,25.255,25.32,24.515
07/26/2021,25.318,39559,25.27,25.51,25.175
07/23/2021,25.233,38982,25.48,25.535,25.05
07/22/2021,25.381,46796,25.33,25.515,25.06
07/21/2021,25.255,49517,24.975,25.365,24.79
07/20/2021,24.995,61258,25.24,25.315,24.84
07/19/2021,25.144,82657,25.7,25.805,25.035
07/16/2021,25.795,74872,26.43,26.55,25.64
07/15/2021,26.394,34539,26.325,26.49,26.245
07/14/2021,26.271,63323,26.055,26.575,26.01
07/13/2021,26.14,49567,26.32,26.44,26.005
07/12/2021,26.239,42310,26.185,26.375,25.93
07/09/2021,26.234,44158,26.005,26.3,25.82
07/08/2021,25.987,58359,26.265,26.31,25.875
07/07/2021,26.129,49007,26.265,26.545,26.06
07/06/2021,26.174,78836,26.64,26.91,26.1
07/02/2021,26.501,55721,26.145,26.7,26.1
07/01/2021,26.1,53051,26.25,26.525,26.045
06/30/2021,26.194,43315,25.875,26.275,25.8
06/29/2021,25.901,71600,26.235,26.235,25.58
06/28/2021,26.254,39778,26.22,26.335,25.875
06/25/2021,26.126,30865,26.055,26.415,26.01
06/24/2021,26.089,24656,25.98,26.28,25.905
06/23/2021,26.152,22485,25.89,26.41,25.85
06/22/2021,25.898,13025,26.02,26.12,25.775
06/21/2021,26.065,12938,25.895,26.17,25.615
06/18/2021,25.969,86513,25.95,26.555,25.77
06/17/2021,25.856,150569,27.005,27.32,25.82
06/16/2021,27.812,72327,27.795,27.97,26.7
06/15/2021,27.693,61731,28,28.03,27.485
06/14/2021,28.039,59688,28.095,28.16,27.565
06/11/2021,28.146,69170,28.145,28.445,28.025
06/10/2021,28.031,75924,27.905,28.18,27.475
06/09/2021,28.002,57544,27.735,28.145,27.62
06/08/2021,27.731,66083,28.025,28.12,27.61
06/07/2021,28.018,56079,27.91,28.085,27.595
06/04/2021,27.896,74415,27.53,27.94,27.865
06/03/2021,27.477,102290,28.295,27.565,27.415
06/02/2021,28.204,52726,27.995,28.32,27.765
06/01/2021,28.102,106907,28.035,28.035,27.93
05/28/2021,28.014,65114,27.98,28.095,27.48
05/27/2021,27.94,55762,27.765,27.98,27.93
05/26/2021,27.877,64614,28.105,28.34,27.685
05/25/2021,28.056,67658,27.88,28.14,28.04
05/24/2021,27.905,50388,27.69,28.015,27.55
05/21/2021,27.486,76044,27.87,28.195,27.265
05/20/2021,28.067,55280,27.84,28.125,27.49
05/19/2021,28.025,107527,28.3,27.86,27.58
05/18/2021,28.333,74122,28.325,28.395,28.275
05/17/2021,28.274,82860,27.515,28.37,28.3
05/14/2021,27.365,57316,27.19,27.595,26.92
05/13/2021,27.059,62643,27.095,27.33,26.78
05/12/2021,27.244,76020,27.76,27.83,27.03
05/11/2021,27.667,60622,27.4,27.78,27.72
05/10/2021,27.492,63916,27.68,28.005,27.32
05/07/2021,27.565,78921,27.45,27.58,27.51
05/06/2021,27.477,85955,26.59,27.515,27.405
05/05/2021,26.522,40143,26.595,26.61,26.53
05/04/2021,26.558,68803,27.015,27.24,26.16
05/03/2021,26.96,71503,25.99,27.045,26.925
04/30/2021,25.873,54442,26.17,26.005,25.855
04/29/2021,26.085,79346,26.3,26.205,26.13
04/28/2021,26.118,55382,26.38,26.38,25.875
04/27/2021,26.45,45944,26.355,26.56,26.14
04/26/2021,26.247,35182,26.09,26.32,26.26
04/23/2021,26.114,18206,26.24,26.51,25.93
04/22/2021,26.219,19537,26.7,26.26,26.055
04/21/2021,26.606,17296,25.9,26.765,26.535
04/20/2021,25.84,69918,25.875,26.15,25.725
04/19/2021,25.837,67083,26.055,26.28,25.67
04/16/2021,26.105,56487,25.94,26.38,25.795
04/15/2021,25.964,70522,25.48,25.955,25.895
04/14/2021,25.524,52957,25.405,25.485,25.44
04/13/2021,25.426,72896,24.83,25.465,25.37
04/12/2021,24.867,61248,25.3,24.885,24.725
04/09/2021,25.325,57602,25.53,25.555,25.01
04/08/2021,25.585,59692,25.21,25.675,25.02
04/07/2021,25.247,42705,25.21,25.33,25.125
04/06/2021,25.227,52014,24.905,25.225,25.16
04/05/2021,24.78,38324,25.05,25.14,24.66
04/01/2021,24.948,62056,24.46,25.045,24.27
03/31/2021,24.532,64445,24.045,24.565,23.74
03/30/2021,24.137,68953,24.725,24.77,23.88
03/29/2021,24.771,51320,25.105,25.15,24.48
03/26/2021,25.114,41109,25.15,25.335,24.92
03/25/2021,25.047,84471,25.17,25.24,24.925
03/24/2021,25.231,42488,25.12,25.43,25.02
03/23/2021,25.227,61646,25.85,25.11,25.055
03/22/2021,25.769,60953,26.34,26.35,25.45
03/19/2021,26.321,51175,26.15,26.4,25.925
03/18/2021,26.351,75265,26.4,26.74,25.875
03/17/2021,26.058,53877,26.005,26.615,25.805
03/16/2021,26.003,46881,26.34,26.405,25.885
03/15/2021,26.288,47263,26.07,26.39,25.845
03/12/2021,25.911,55551,26.195,26.235,25.425
03/11/2021,26.193,54167,26.315,26.545,25.885
03/10/2021,26.13,52439,26.025,26.315,25.61
03/09/2021,26.183,65856,25.17,26.22,25.09
03/08/2021,25.269,60615,25.4,25.965,24.97
03/05/2021,25.287,78031,25.385,25.505,24.845
03/04/2021,25.461,92025,26.175,26.385,25.08
03/03/2021,26.387,80568,26.86,26.915,25.875
03/02/2021,26.879,80549,26.63,26.985,25.82
03/01/2021,26.678,70094,26.7,27.175,26.51
02/26/2021,26.44,111818,27.53,26.72,26.545
02/25/2021,27.685,107568,28.08,27.9,27.345
02/24/2021,27.928,61339,27.785,28.15,27.415
02/23/2021,27.742,60669,28.31,28.47,27.335
02/22/2021,28.131,47738,27.59,28.39,27.37
02/19/2021,27.293,27253,27.145,27.74,26.155
02/18/2021,27.118,21148,27.49,27.17,27.065
02/17/2021,27.315,71766,27.31,27.49,27.165
02/16/2021,27.325,127726,27.355,27.385,27.28
02/12/2021,27.328,52719,27.02,27.455,27.33
02/11/2021,27.047,58722,27.095,27.35,26.75
02/10/2021,27.078,67179,27.35,27.595,26.88
02/09/2021,27.402,78282,27.37,27.875,27.13
02/08/2021,27.576,79156,27.2,27.7,26.93
02/05/2021,27.019,84868,26.42,27.105,26.255
02/04/2021,26.234,101270,26.96,27.015,25.935
02/03/2021,26.889,90973,26.735,27.26,26.545
02/02/2021,26.402,199371,29.095,29.15,26.35
02/01/2021,29.418,308231,28.425,30.35,28.155
01/29/2021,26.914,181322,26.625,27.14,26.91
01/28/2021,25.922,184884,25.33,26.73,26.42
01/27/2021,25.389,94884,25.53,25.34,25.13
01/26/2021,25.538,51039,25.395,25.72,25.23
01/25/2021,25.484,72512,25.535,25.835,25.205
01/22/2021,25.556,73295,26.025,26.045,25.05
01/21/2021,25.854,58922,25.91,26.1,25.93
01/20/2021,25.766,79320,25.29,25.96,25.67
